#separator:tab
#html:true
Wofür werden verteilte Systeme genutzt?	<div id='extra'>Zur Realisierung von Innovationen mit komplexen Anwendungen und Diensten</div>
Warum können falsche Annahmen in verteilten Systemen problematisch sein?	<div id='extra'>Weil sie dazu führen können, dass das System nicht wie erwartet funktioniert oder sogar Ausfälle verursacht.</div>
Wie kann man falsche Annahmen in verteilten Systemen vermeiden?	<div id='extra'>Indem man sich bewusst ist, dass sie existieren und indem man die Komplexität des Systems versteht.</div>
Was ist funktionale Zerlegung in Bezug auf verteilte Systeme?	<div id='extra'>Funktionale Zerlegung bezieht sich darauf, dass das System in verschiedene Funktionen oder Dienste aufgeteilt wird, die unabhängig voneinander arbeiten können.</div>
Was ist ressourcenorientierte Zerlegung in Bezug auf verteilte Systeme?	<div id='extra'>Ressourcenorientierte Zerlegung bezieht sich darauf, dass das System in verschiedene Ressourcen oder Datenobjekte aufgeteilt wird, die unabhängig voneinander verwaltet werden können.</div>
Was sind Vor- und Nachteile der funktionalen Zerlegung?	<div id='extra'>Vorteile:<div>klare Trennung von Verantwortlichkeiten</div><div><br></div><div>eine einfache Skalierbarkeit</div><div><br></div><div>Nachteile:&nbsp;</div><div>schwieriger, die Interaktion zwischen den verschiedenen Funktionen zu koordinieren</div></div>
Was sind Vor- und Nachteile der ressourcenorientierten Zerlegung?	<div id='extra'>Vorteile:<div>klare Trennung von Datenverantwortlichkeiten</div><div><br></div><div>eine einfachere Koordination von Datenzugriffen</div><div><br></div><div><br></div><div>Nachteile:&nbsp;</div><div>schwieriger, die Interaktion zwischen den verschiedenen Ressourcen zu koordinieren</div></div>
Wie kann man entscheiden, welche Art der Zerlegung für ein verteiltes System am besten geeignet ist?	<div id='extra'>Indem man die Anforderungen des Systems und die Art der Daten und Funktionen, die im System vorhanden sind, berücksichtigt.</div>
Was ist Interface in Bezug auf funktionale Zerlegung?	<div id='extra'>Interface bezieht sich darauf, wie verschiedene Funktionen oder Dienste miteinander kommunizieren und wie sie ihre Ergebnisse austauschen.</div>
Was ist Relation in Bezug auf ressourcenorientierte Zerlegung?	<div id='extra'>Relation bezieht sich darauf, wie verschiedene Ressourcen oder Datenobjekte miteinander verknüpft sind und wie sie miteinander interagieren.</div>
Was sind Herausforderungen bei der ressourcenorientierten Zerlegung?	<div id='extra'>Herausforderungen können sein: <br><ul><li>Verwaltung von Datenzugriffen und -verantwortlichkeiten</li><li>Koordination von verschiedenen Ressourcen </li><li>Sicherstellung einer guten Leistung bei steigender Last</li></ul></div>
Wie kann man Herausforderungen bei der funktionalen und ressourcenorientierten Zerlegung bewältigen?	<div id='extra'>Durch den Einsatz von Middleware-Technologien wie Remote Procedure Calls (RPC) oder Message-Oriented Middleware (MOM), sowie durch den Einsatz von automatisierten Skalierungslösungen und Überwachungstools.</div>
Was ist Datenseparation in Bezug auf verteilte Systeme?	<div id='extra'>Datenseparation bezieht sich darauf, dass Daten auf verschiedene Knoten im Netzwerk verteilt werden, um die Leistung, Skalierbarkeit und Zuverlässigkeit des Systems zu verbessern.</div>
Wie wird Datenseparation in verteilten Systemen erreicht?	<div id='extra'>Durch die Aufteilung von Daten in kleine Teile und deren Verteilung auf verschiedene Knoten oder Server im Netzwerk.</div>
Was sind Vorteile der Datenseparation?	<div id='extra'>Vorteile sind unter anderem eine bessere Leistung und Skalierbarkeit des Systems sowie eine höhere Zuverlässigkeit durch Redundanz.</div>
Warum benötigen verteilte Systeme Schnittstellen?	<div id='extra'>Weil die verschiedenen Entitäten in einem verteilten System miteinander kommunizieren müssen, um Daten auszutauschen und ihre Arbeit zu koordinieren.</div>
Was ist Remote Procedure Call (RPC) in Bezug auf Schnittstellen?	<div id='extra'>RPC ist eine Middleware-Technologie, die es ermöglicht, dass verschiedene Entitäten in einem verteilten System miteinander kommunizieren können, indem sie Methodenaufrufe über das Netzwerk senden.</div>
Was ist Message-Oriented Middleware (MOM) in Bezug auf Schnittstellen?	<div id='extra'>MOM ist eine Middleware-Technologie, die es ermöglicht, dass verschiedene Entitäten in einem verteilten System miteinander kommunizieren können, indem sie Nachrichten über das Netzwerk senden.</div>
Was sind Vor- und Nachteile von RPC als Middleware-Technologie?	<div id='extra'>Vorteile:<div>Einfache Implementierung</div><div>Hohe Leistung</div><div><br></div><div>Nachteile:</div><div>schwieriger, die Interaktion zwischen den verschiedenen Entitäten zu koordinieren</div></div>
Was sind Vor- und Nachteile von MOM als Middleware-Technologie?	<div id='extra'>Vorteile:<div>bessere Skalierbarkeit und Zuverlässigkeit</div><div>einfachere Koordination von Nachrichten</div><div><br></div><div>Nachteile:</div><div>schwieriger, die Interaktion zwischen den verschiedenen Entitäten zu koordinieren</div><div>die Implementierung kann komplexer sein</div></div>
Was ist ein API in Bezug auf Schnittstellen?	<div id='extra'>Eine API (Application Programming Interface) ist eine Sammlung von Methoden und Funktionen, die es anderen Entwicklern ermöglicht, auf eine bestimmte Software oder Plattform zuzugreifen und mit ihr zu interagieren.</div>
Was sind RESTful APIs in Bezug auf Schnittstellen?	<div id='extra'>RESTful APIs sind eine Art von API, die auf dem REST (Representational State Transfer) Architekturstil basieren und es ermöglichen, dass verschiedene Entitäten in einem verteilten System miteinander kommunizieren können, indem sie HTTP-Methoden wie GET, POST, PUT und DELETE verwenden.</div>
Was sind Vor- und Nachteile von RESTful APIs als Middleware-Technologie?	<div id='extra'>Vorteile:<br><ul><li>einfache Implementierung </li><li>hohe Skalierbarkeit</li></ul>Nachteile:<br><ul><li>schwieriger, komplexe Interaktionen zwischen den verschiedenen Entitäten zu koordinieren</li></ul></div>
Was ist Kopplung in Bezug auf verteilte Systeme?	<div id='extra'>Kopplung bezieht sich darauf, wie stark verschiedene Entitäten in einem verteilten System voneinander abhängig sind.</div>
Was ist lose Kopplung in Bezug auf verteilte Systeme?	<div id='extra'>Lose Kopplung bedeutet, dass die verschiedenen Entitäten in einem verteilten System unabhängig voneinander arbeiten können und nur minimale Abhängigkeiten untereinander haben.</div>
Was ist starke Kopplung in Bezug auf verteilte Systeme?	<div id='extra'>Starke Kopplung bedeutet, dass die verschiedenen Entitäten in einem verteilten System stark voneinander abhängig sind und eng miteinander verbunden sind.</div>
Was sind Vor- und Nachteile von lose gekoppelten Systemen?	<div id='extra'>Vorteile:<br><ul><li>höhere Flexibilität</li><li>Skalierbarkeit </li><li>einfachere Wartbarkeit</li></ul>Nachteile:<br><ul><li>schwieriger, komplexe Interaktionen zwischen den verschiedenen Entitäten zu koordinieren</li></ul></div>
Was sind Vor- und Nachteile von stark gekoppelten Systemen?	<div id='extra'>Vorteile:<br><ul><li>einfachere Koordination von Interaktionen zwischen den verschiedenen Entitäten</li><li>höhere Effizienz</li></ul>Nachteile:<br><ul><li>schwieriger, Änderungen an einem Teil des Systems vorzunehmen, ohne Auswirkungen auf andere Teile des Systems zu haben</li></ul></div>
Was sind Mechanismen in Bezug auf verteilte Systeme?	<div id='extra'>Mechanismen beziehen sich auf die technischen Mittel, die verwendet werden, um verschiedene Entitäten in einem verteilten System miteinander zu verbinden und zu koordinieren.</div>
Was sind Policies in Bezug auf verteilte Systeme?	<div id='extra'>Policies beziehen sich auf die Regeln und Vorschriften, die festlegen, wie verschiedene Entitäten in einem verteilten System miteinander interagieren sollen.</div>
Was ist Failover in Bezug auf Mechanismen und Policies?	<div id='extra'>Failover ist ein Mechanismus, der verwendet wird, um sicherzustellen, dass ein verteiltes System auch dann weiterhin funktioniert, wenn ein Knoten oder Server ausfällt. Dabei übernimmt ein anderer Knoten oder Server automatisch die Aufgaben des ausgefallenen Knotens oder Servers.</div>
Was sind Vor- und Nachteile von Load Balancing und Failover als Mechanismen und Policies?	<div id='extra'>Vorteile:<br><ul><li>höhere Leistung</li><li>Skalierbarkeit</li><li>Zuverlässigkeit des Systems</li></ul>Nachteile:<br><ul><li>schwieriger, die Interaktionen zwischen den verschiedenen Entitäten zu koordinieren</li><li>die Implementierung kann komplexer sein</li></ul></div>
Was bedeutet &quot;stateful&quot; in Bezug auf verteilte Systeme?	"<div id='extra'>""Stateful"" bezieht sich darauf, dass ein System Informationen über den aktuellen Zustand der Kommunikation zwischen den Komponenten speichert und auf vorherige Anfragen oder Interaktionen Bezug nimmt.</div>"
Was bedeutet &quot;stateless&quot; in Bezug auf verteilte Systeme?	"<div id='extra'>""Stateless"" bezieht sich darauf, dass ein System keine Informationen über den aktuellen Zustand der Kommunikation zwischen den Komponenten speichert und jede Anfrage oder Interaktion unabhängig voneinander behandelt.</div>"
Was sind Vor- und Nachteile von stateful Systemen?	<div id='extra'>Vorteile:<br><ul><li>individuellere oder optimierte Antworten aufgrund von früheren Interaktionen</li></ul>Nachteile:<br><ul><li>Implementierung kann komplexer sein</li><li>schwieriger, die Interaktionen zwischen den verschiedenen Entitäten zu koordinieren</li></ul></div>
Was sind Vor- und Nachteile von stateless Systemen?	<div id='extra'>Vorteile: <br><ul><li>einfachere Implementierung </li><li>höhere Skalierbarkeit</li></ul>Nachteile:<br><ul><li>schwieriger, individuelle oder optimierte Antworten zu liefern</li><li>schwieriger, komplexe Interaktionen zwischen den verschiedenen Entitäten zu koordinieren</li></ul></div>
Wie beeinflussen stateful und stateless Systeme die Architektur von verteilten Systemen?	<div id='extra'>Die Wahl zwischen stateful und stateless Systemen beeinflusst die Art und Weise, wie die verschiedenen Entitäten in einem verteilten System miteinander kommunizieren und wie sie ihre Arbeit koordinieren. Je nach den Anforderungen des Systems kann es sinnvoll sein, entweder ein stateful oder ein stateless System zu verwenden oder eine Kombination aus beiden.</div>
Was ist eine Transaktion in Bezug auf verteilte Systeme?	<div id='extra'>Eine Transaktion ist eine Sequenz von Operationen, die auf verteilten Ressourcen oder Daten ausgeführt werden, um eine bestimmte Aufgabe oder Funktion zu erfüllen.</div>
Warum sind Transaktionen wichtig in verteilten Systemen?	<div id='extra'>Transaktionen sind wichtig, um die Konsistenz und Integrität von Daten in verteilten Systemen zu gewährleisten, insbesondere bei gleichzeitigen Zugriffen und Änderungen durch verschiedene Benutzer oder Prozesse.</div>
Was ist das ACID-Modell in Bezug auf Transaktionen?	<div id='extra'>Das ACID-Modell (Atomicity, Consistency, Isolation, Durability) ist ein Modell für die Durchführung von Transaktionen in verteilten Systemen. Es stellt sicher, dass Transaktionen atomar (entweder vollständig ausgeführt oder gar nicht), konsistent (die Daten bleiben konsistent), isoliert (Transaktionen beeinflussen sich nicht gegenseitig) und dauerhaft (die Ergebnisse der Transaktion bleiben erhalten) sind.</div>
Was sind Vor- und Nachteile von Transaktionen in verteilten Systemen?	<div id='extra'>Vorteile:<br><ul><li>höhere Konsistenz und Integrität der Daten</li><li>bessere Skalierbarkeit des Systems</li></ul>Nachteile:<br><ul><li>komplexe Interaktionen zwischen den verschiedenen Entitäten koordinieren</li><li>Implementierung komplexer</li></ul></div>
Wie beeinflussen Transaktionen die Architektur von verteilten Systemen?	<div id='extra'>Die Verwendung von Transaktionen beeinflusst die Art und Weise, wie die verschiedenen Entitäten in einem verteilten System miteinander kommunizieren und wie sie ihre Arbeit koordinieren. Je nach den Anforderungen des Systems kann es sinnvoll sein, Transaktionen zu verwenden oder alternative Mechanismen zu wählen.</div>
Was ist Message Passing in Bezug auf verteilte Systeme?	<div id='extra'>Message Passing ist ein Kommunikationsparadigma in verteilten Systemen, bei dem Prozesse oder Komponenten Nachrichten austauschen, um Daten zu übertragen oder Aufgaben zu koordinieren.</div>
Was sind Beispiele für Anwendungen von Message Passing in verteilten Systemen?	<div id='extra'>Beispiele sind Remote Procedure Calls (RPC), Remote Method Invocation (RMI) und andere Mechanismen.</div>
Was sind Vor- und Nachteile von Message Passing als Kommunikationsparadigma?	<div id='extra'>Vorteile:<br><ul><li>Flexibilität</li><li>Skalierbarkeit</li><li>Wartbarkeit</li></ul>Nachteile:<br><ul><li>Komplexität</li></ul></div>
Wie beeinflusst Message Passing die Architektur von verteilten Systemen?	<div id='extra'>Die Verwendung von Message Passing beeinflusst die Art und Weise, wie Entitäten kommunizieren und koordinieren.</div>
Was sind weitere Anwendungen von Message Passing außerhalb von verteilten Systemen?	<div id='extra'>Nebenläufigkeits-Programmierung, parallele Programmierung, objektorientierte Programmierung und Interprozesskommunikation.</div>
Was bedeutet &quot;idempotent&quot; in Bezug auf verteilte Systeme?	"<div id='extra'>""Idempotent"" bezieht sich darauf, dass eine Operation mehrmals ausgeführt werden kann, ohne dass sich das Ergebnis ändert.</div>"
Warum sind idempotente Operationen nützlich in verteilten Systemen?	<div id='extra'>Idempotente Operationen können dazu beitragen, die Fehler- und Ausfalltoleranz von verteilten Systemen zu erhöhen.</div>
Was sind Beispiele für idempotente Operationen in verteilten Systemen?	<div id='extra'>Beispiele für idempotente Operationen sind das Lesen von Daten oder das Löschen von Daten.</div>
Was sind Vor- und Nachteile von idempotenten Operationen in verteilten Systemen?	<div id='extra'>Vorteile:<br><ul><li>höhere Fehler- und Ausfalltoleranz</li><li>einfachere Implementierung</li></ul>Nachteile: <br><ul><li>kann sein, dass nicht alle Operationen idempotent sein können</li><li>komplexe Interaktionen zwischen den verschiedenen Entitäten zu koordinieren</li></ul></div>
Wie beeinflussen idempotente Operationen die Architektur von verteilten Systemen?	<div id='extra'>Die Verwendung von idempotenten Operationen beeinflusst die Art und Weise, wie Entitäten miteinander kommunizieren und wie sie ihre Arbeit koordinieren. Je nach den Anforderungen des Systems kann es sinnvoll sein, idempotente Operationen zu verwenden oder alternative Mechanismen zu wählen.</div>
